source,song_id,n_bars,beats_per_bar,bpm,key,mode,transpose_offset,n_melody_notes,chord_consonance,melody_chord_coverage,irregular_bars,unparsed_chords,included,reason
pop909,033,68,4,68.0,E:min,min,5.0,293,0.9946,1.0,1.0,0,True,
pop909,034,74,6,102.0,E:min,min,5.0,390,0.9696,1.0,0.0,0,True,
pop909,035,83,4,71.0,E:maj,maj,-4.0,404,0.946,1.0,2.0,0,True,
pop909,036,103,4,124.0,G:min,min,2.0,428,0.977,1.0,0.0,0,True,
pop909,037,87,4,74.0,B:min,min,-2.0,279,0.9576,1.0,4.0,0,True,
pop909,038,92,4,80.0,C:maj,maj,0.0,345,0.9755,1.0,2.0,0,True,
pop909,039,88,4,78.0,E:min,min,5.0,279,0.9335,0.9835,4.0,0,True,
pop909,040,75,4,66.0,D:min,min,-5.0,346,0.9522,1.0,0.0,0,True,
pop909,041,96,4,85.0,Bb:maj,maj,2.0,389,0.9113,0.9861,4.0,0,True,
pop909,042,64,4,73.0,Bb:min,min,-1.0,278,0.9138,1.0,1.0,0,True,
pop909,043,151,4,107.9,G:min,min,2.0,398,0.9162,0.9936,1.0,0,True,
pop909,044,64,4,58.0,Bb:maj,maj,2.0,405,0.9702,0.9753,2.0,0,True,
pop909,045,54,4,60.0,E:maj,maj,-4.0,398,0.9651,1.0,3.0,0,True,
pop909,046,112,4,90.0,Bb:maj,maj,2.0,330,0.9404,1.0,2.0,0,True,
pop909,047,66,4,64.0,E:maj,maj,-4.0,384,0.9608,0.9942,4.0,0,True,
pop909,048,93,4,110.0,Ab:min,min,1.0,189,0.9415,1.0,2.0,0,True,
pop909,049,104,4,110.0,Db:min,min,-4.0,358,0.9267,0.9886,1.0,0,True,
pop909,050,54,4,65.0,G:maj,maj,5.0,454,0.9845,1.0,1.0,0,True,
pop909,051,65,4,65.0,B:maj,maj,1.0,315,0.9702,1.0,2.0,0,True,
pop909,052,73,4,85.0,B:min,min,-2.0,364,0.964,1.0,2.0,0,True,
pop909,053,75,4,72.3,F:min,min,4.0,301,0.9417,1.0,2.0,0,True,
pop909,054,82,4,70.0,E:maj,maj,-4.0,351,0.9639,1.0,3.0,0,True,
pop909,055,94,4,72.0,C:maj,maj,0.0,347,0.9713,1.0,3.0,0,True,
pop909,056,102,4,85.0,E:min,min,5.0,354,0.9483,1.0,3.0,0,True,
pop909,057,77,4,75.0,F:maj,maj,-5.0,441,0.9714,0.9949,0.0,0,True,
pop909,058,72,4,63.9,A:maj,maj,3.0,255,0.9755,1.0,0.0,0,True,
pop909,059,67,4,63.0,B:min,min,-2.0,297,0.9025,1.0,5.0,0,True,
pop909,060,50,4,64.0,B:maj,maj,1.0,234,0.97,1.0,2.0,0,True,
pop909,061,92,4,85.0,Ab:min,min,1.0,312,0.9644,1.0,1.0,0,True,
pop909,062,105,6,148.0,C:min,min,-3.0,318,0.9582,1.0,0.0,0,True,
pop909,063,96,4,72.0,G:maj,maj,5.0,353,0.915,1.0,4.0,0,True,
pop909,064,50,4,63.0,C:min,min,-3.0,239,0.9583,1.0,0.0,0,True,
pop909,065,122,4,92.0,A:min,min,0.0,286,0.9526,1.0,6.0,0,True,
pop909,066,108,4,110.0,Db:maj,maj,-1.0,385,0.9751,1.0,0.0,0,True,
pop909,067,76,4,67.0,Ab:min,min,1.0,348,0.9483,1.0,4.0,0,True,
pop909,068,62,4,59.0,C:maj,maj,0.0,309,0.9732,0.9904,4.0,0,True,
pop909,069,117,4,124.0,Ab:min,min,1.0,402,0.9841,1.0,2.0,0,True,
pop909,070,63,4,62.0,Bb:min,min,-1.0,395,0.9536,1.0,3.0,0,True,
pop909,071,72,4,68.8,E:min,min,5.0,312,0.9496,1.0,4.0,0,True,
pop909,072,79,4,79.0,D:maj,maj,-2.0,338,0.9808,1.0,4.0,0,True,
pop909,073,88,4,78.0,D:min,min,-5.0,397,0.9532,1.0,3.0,0,True,
pop909,074,94,4,73.0,G:maj,maj,5.0,433,0.8769,1.0,0.0,0,True,
pop909,075,66,4,58.0,Bb:maj,maj,2.0,413,0.9812,1.0,6.0,0,True,
pop909,076,106,4,96.0,G:maj,maj,5.0,342,0.9497,1.0,1.0,0,True,
pop909,077,108,4,103.4,Gb:maj,maj,6.0,443,0.9418,1.0,1.0,0,True,
pop909,078,96,4,86.0,E:min,min,5.0,345,0.9452,1.0,0.0,0,True,
pop909,079,63,4,58.0,C:maj,maj,0.0,451,0.9621,1.0,3.0,0,True,
pop909,080,83,4,71.5,G:maj,maj,5.0,379,0.9692,1.0,1.0,0,True,
pop909,081,61,4,60.0,G:maj,maj,5.0,363,0.9491,1.0,4.0,0,True,
pop909,082,63,4,59.0,G:min,min,2.0,299,0.9551,1.0,1.0,0,True,
pop909,083,66,4,60.0,F:min,min,4.0,379,0.9344,1.0,2.0,0,True,
pop909,084,63,4,72.0,G:min,min,2.0,384,0.9775,1.0,1.0,0,True,
pop909,085,114,4,90.0,Ab:maj,maj,4.0,309,0.9492,0.9878,0.0,0,True,
pop909,086,73,4,61.5,A:maj,maj,3.0,414,0.9405,1.0,6.0,0,True,
pop909,087,66,4,73.0,B:min,min,-2.0,265,0.9555,1.0,0.0,0,True,
pop909,088,144,4,140.0,C:min,min,-3.0,310,0.9325,1.0,3.0,0,True,
pop909,089,78,4,82.0,Gb:min,min,3.0,219,0.9074,1.0,2.0,0,True,
pop909,090,73,4,72.0,G:min,min,2.0,244,0.9698,1.0,2.0,0,True,
pop909,091,54,4,63.0,Bb:maj,maj,2.0,312,0.9504,1.0,3.0,0,True,
pop909,092,63,4,78.0,Gb:maj,maj,6.0,229,0.9616,0.963,3.0,0,True,
pop909,093,87,4,82.0,B:maj,maj,1.0,301,0.9724,1.0,1.0,0,True,
pop909,094,66,4,62.0,F:min,min,4.0,281,0.9557,1.0,6.0,0,True,
pop909,095,91,4,68.0,Bb:maj,maj,2.0,449,0.9538,1.0,2.0,0,True,
pop909,096,98,4,116.5,Bb:min,min,-1.0,269,0.9626,1.0,1.0,0,True,
pop909,097,76,4,70.0,B:min,min,-2.0,326,0.9446,1.0,0.0,0,True,
pop909,098,13,4,74.0,Ab:maj,maj,4.0,48,0.909,1.0,0.0,0,True,
pop909,099,77,4,65.0,A:min,min,0.0,384,0.9516,1.0,5.0,0,True,
pop909,100,68,4,62.0,B:min,min,-2.0,279,0.9746,1.0,5.0,0,True,
pop909,101,80,4,64.0,G:min,min,2.0,377,0.9544,1.0,1.0,0,True,
pop909,102,103,6,182.0,A:maj,maj,3.0,247,0.926,1.0,9.0,0,True,
pop909,103,81,4,64.0,D:min,min,-5.0,406,0.9521,1.0,3.0,0,True,
pop909,104,59,4,61.4,Db:maj,maj,-1.0,397,0.9618,1.0,2.0,0,True,
pop909,105,118,4,94.0,Db:maj,maj,-1.0,434,0.9726,1.0,1.0,0,True,
pop909,106,86,4,67.0,E:min,min,5.0,341,0.9688,1.0,9.0,0,True,
pop909,107,84,6,143.0,Db:min,min,-4.0,311,0.9736,0.9953,0.0,0,True,
pop909,108,88,4,102.0,A:maj,maj,3.0,264,0.9655,1.0,3.0,0,True,
pop909,109,66,4,64.0,Gb:min,min,3.0,332,0.9581,1.0,3.0,0,True,
pop909,110,70,4,65.5,Eb:maj,maj,-3.0,294,0.9344,1.0,5.0,0,True,
pop909,111,79,4,62.0,G:maj,maj,5.0,340,0.9272,1.0,5.0,0,True,
pop909,112,63,4,56.0,G:maj,maj,5.0,363,0.9352,1.0,2.0,0,True,
pop909,113,88,4,77.0,G:maj,maj,5.0,300,0.917,1.0,5.0,0,True,
pop909,114,77,4,64.0,B:maj,maj,1.0,287,0.9685,1.0,1.0,0,True,
pop909,115,91,4,80.0,G:min,min,2.0,349,0.9402,1.0,1.0,0,True,
pop909,116,54,4,60.0,E:min,min,5.0,422,0.9718,1.0,1.0,0,True,
pop909,117,73,4,66.0,A:min,min,0.0,370,0.9749,1.0,3.0,0,True,
pop909,118,81,4,75.0,Eb:min,min,6.0,421,0.9413,1.0,1.0,0,True,
pop909,119,72,4,66.0,C:min,min,-3.0,304,0.9443,1.0,1.0,0,True,
pop909,120,55,4,63.0,Eb:min,min,6.0,363,0.9682,1.0,2.0,0,True,
pop909,121,96,4,72.0,C:min,min,-3.0,389,0.9695,1.0,2.0,0,True,
pop909,122,73,4,70.0,Bb:min,min,-1.0,286,0.9665,1.0,1.0,0,True,
pop909,123,79,4,70.0,Bb:maj,maj,2.0,280,0.9284,1.0,2.0,0,True,
pop909,124,66,4,93.0,G:maj,maj,5.0,182,0.9481,1.0,1.0,0,True,
pop909,125,90,4,81.5,D:min,min,-5.0,342,0.8804,1.0,2.0,0,True,
pop909,126,92,4,72.0,E:min,min,5.0,363,0.9454,1.0,0.0,0,True,
pop909,127,99,4,87.0,Db:maj,maj,-1.0,324,0.9316,1.0,2.0,0,True,
pop909,128,61,4,61.0,Eb:maj,maj,-3.0,342,0.9528,1.0,2.0,0,True,
pop909,129,111,4,112.0,A:maj,maj,3.0,401,0.9514,1.0,2.0,0,True,
pop909,130,72,4,68.0,E:min,min,5.0,333,0.9597,1.0,1.0,0,True,
pop909,131,64,4,56.0,C:maj,maj,0.0,300,0.9312,1.0,1.0,0,True,
pop909,132,73,4,68.0,C:maj,maj,0.0,291,0.9289,1.0,1.0,0,True,
pop909,133,83,4,68.0,A:min,min,0.0,367,0.9298,1.0,5.0,0,True,
pop909,134,91,4,100.0,C:min,min,-3.0,322,0.9165,1.0,8.0,0,True,
pop909,135,91,4,78.0,E:min,min,5.0,522,0.9534,1.0,1.0,0,True,
pop909,136,74,4,89.0,C:maj,maj,0.0,340,0.9681,1.0,0.0,0,True,
pop909,137,73,4,63.5,F:maj,maj,-5.0,333,0.9417,1.0,4.0,0,True,
pop909,138,112,4,130.0,Ab:min,min,1.0,466,0.9789,1.0,4.0,0,True,
pop909,139,73,4,68.0,E:min,min,5.0,428,0.962,1.0,3.0,0,True,
pop909,140,114,4,122.0,G:maj,maj,5.0,340,0.9409,1.0,4.0,0,True,
pop909,141,81,4,79.6,D:min,min,-5.0,176,0.9283,1.0,2.0,0,True,
pop909,142,76,4,68.0,Eb:maj,maj,-3.0,335,0.9656,1.0,2.0,0,True,
pop909,143,116,4,116.0,B:maj,maj,1.0,378,0.9702,1.0,2.0,0,True,
pop909,144,70,4,69.0,F:min,min,4.0,390,0.9501,1.0,2.0,0,True,
pop909,145,43,4,66.0,Eb:maj,maj,-3.0,207,0.9422,1.0,2.0,0,True,
pop909,146,97,4,74.0,Db:maj,maj,-1.0,406,0.9275,1.0,4.0,0,True,
pop909,147,66,4,64.0,A:maj,maj,3.0,295,0.9638,0.9939,4.0,0,True,
pop909,148,122,4,96.0,D:maj,maj,-2.0,370,0.9329,0.99,7.0,0,True,
pop909,149,80,4,67.5,Eb:maj,maj,-3.0,437,0.94,1.0,2.0,0,True,
pop909,150,70,4,65.2,C:maj,maj,0.0,407,0.9608,1.0,2.0,0,True,
pop909,151,67,4,75.0,D:min,min,-5.0,280,0.9669,1.0,0.0,0,True,
pop909,152,91,6,110.0,D:min,min,-5.0,256,0.9562,1.0,7.0,0,True,
pop909,153,92,4,94.0,C:min,min,-3.0,323,0.9512,1.0,2.0,0,True,
pop909,154,104,4,95.0,D:maj,maj,-2.0,398,0.9892,1.0,2.0,0,True,
pop909,155,60,4,70.0,A:maj,maj,3.0,350,0.9827,1.0,0.0,0,True,
pop909,156,107,4,96.0,F:min,min,4.0,387,0.9649,1.0,9.0,0,True,
pop909,157,106,4,100.0,Ab:min,min,1.0,407,0.9631,1.0,1.0,0,True,
pop909,158,103,4,111.0,D:min,min,-5.0,296,0.9583,1.0,0.0,0,True,
pop909,159,102,4,93.0,F:maj,maj,-5.0,298,0.9866,1.0,1.0,0,True,
pop909,160,69,4,78.0,B:maj,maj,1.0,238,0.9705,1.0,1.0,0,True,
pop909,161,44,4,62.0,Bb:min,min,-1.0,241,0.9518,1.0,2.0,0,True,
pop909,162,80,4,83.5,E:maj,maj,-4.0,217,0.9546,1.0,5.0,0,True,
pop909,163,87,4,94.0,E:maj,maj,-4.0,231,0.9772,1.0,4.0,0,True,
pop909,164,45,4,58.5,Db:maj,maj,-1.0,256,0.9514,1.0,2.0,0,True,
pop909,165,66,4,54.0,Eb:min,min,6.0,277,0.9407,1.0,1.0,0,True,
pop909,166,83,4,90.0,Db:min,min,-4.0,285,0.9506,1.0,2.0,0,True,
pop909,167,80,4,80.1,Bb:maj,maj,2.0,344,0.9601,1.0,2.0,0,True,
pop909,168,89,4,81.0,B:min,min,-2.0,393,0.9859,1.0,2.0,0,True,
pop909,169,50,4,85.0,B:min,min,-2.0,256,0.8801,1.0,1.0,0,True,
pop909,170,85,4,88.0,E:maj,maj,-4.0,494,0.8699,0.9954,1.0,0,True,
pop909,171,61,4,68.7,C:maj,maj,0.0,339,0.9585,1.0,5.0,0,True,
pop909,172,69,4,66.0,C:maj,maj,0.0,353,0.9561,0.992,2.0,0,True,
pop909,173,64,6,79.0,B:min,min,-2.0,323,0.9475,0.9964,3.0,0,True,
pop909,174,67,4,73.0,A:maj,maj,3.0,253,0.9626,1.0,2.0,0,True,
pop909,175,57,4,57.0,B:maj,maj,1.0,298,0.8827,1.0,1.0,0,True,
pop909,176,48,6,91.0,Bb:maj,maj,2.0,139,0.9475,1.0,1.0,0,True,
pop909,177,63,4,68.0,G:maj,maj,5.0,507,0.9184,0.989,1.0,0,True,
pop909,178,76,4,71.0,G:maj,maj,5.0,292,0.9315,1.0,1.0,0,True,
pop909,179,93,4,124.0,Gb:maj,maj,6.0,294,0.9841,0.9929,0.0,0,True,
pop909,180,101,4,82.0,Ab:maj,maj,4.0,501,0.91,1.0,2.0,0,True,
pop909,181,72,4,68.0,F:maj,maj,-5.0,304,0.9492,1.0,3.0,0,True,
pop909,182,71,4,60.0,F:min,min,4.0,448,0.9539,1.0,4.0,0,True,
pop909,183,68,4,71.0,A:maj,maj,3.0,347,0.9565,0.974,0.0,0,True,
pop909,184,64,4,57.0,C:min,min,-3.0,481,0.9013,1.0,0.0,0,True,
pop909,185,120,4,111.0,C:maj,maj,0.0,431,0.8951,1.0,4.0,0,True,
pop909,186,66,4,60.0,G:maj,maj,5.0,423,0.9155,0.9823,3.0,0,True,
pop909,187,118,4,120.0,Gb:min,min,3.0,282,0.9163,1.0,2.0,0,True,
pop909,188,108,4,110.0,Bb:maj,maj,2.0,463,0.949,1.0,2.0,0,True,
pop909,189,71,4,70.0,Db:maj,maj,-1.0,320,0.9276,1.0,3.0,0,True,
pop909,190,78,4,75.0,C:maj,maj,0.0,300,0.9274,1.0,0.0,0,True,
pop909,191,69,4,66.0,G:min,min,2.0,334,0.9068,0.9453,3.0,0,True,
pop909,192,73,4,65.0,F:maj,maj,-5.0,311,0.923,1.0,3.0,0,True,
pop909,193,70,4,72.0,Gb:maj,maj,6.0,259,0.9072,1.0,0.0,0,True,
pop909,194,115,4,121.0,E:maj,maj,-4.0,316,0.9145,0.9942,2.0,0,True,
pop909,195,96,4,98.0,G:min,min,2.0,329,0.916,1.0,3.0,0,True,
pop909,196,194,4,100.0,Eb:min,min,6.0,839,0.9374,1.0,6.0,0,True,
pop909,197,142,4,123.0,C:maj,maj,0.0,532,0.9352,1.0,4.0,0,True,
pop909,198,121,4,129.0,D:min,min,-5.0,237,0.9201,1.0,3.0,0,True,
pop909,199,38,4,58.0,Ab:maj,maj,4.0,222,0.9649,0.9926,2.0,0,True,
pop909,200,109,4,120.0,Ab:min,min,1.0,356,0.937,1.0,0.0,0,True,
pop909,201,85,4,89.0,B:min,min,-2.0,275,0.9453,1.0,2.0,0,True,
pop909,202,62,4,78.0,Db:maj,maj,-1.0,303,0.9222,0.9909,0.0,0,True,
pop909,203,75,6,120.0,C:maj,maj,0.0,435,0.9229,1.0,0.0,0,True,
pop909,204,123,4,98.0,Bb:min,min,-1.0,260,0.9052,1.0,1.0,0,True,
pop909,205,103,4,121.0,Gb:maj,maj,6.0,321,0.9449,1.0,2.0,0,True,
pop909,206,91,4,90.0,Ab:min,min,1.0,401,0.901,1.0,0.0,0,True,
pop909,207,127,4,110.0,B:maj,maj,1.0,375,0.9283,1.0,4.0,0,True,
pop909,208,142,4,125.0,A:maj,maj,3.0,372,0.9558,0.9356,1.0,0,True,
pop909,209,154,4,135.0,F:maj,maj,-5.0,337,0.9617,1.0,10.0,0,True,
pop909,210,111,4,116.0,F:maj,maj,-5.0,362,0.95,0.9127,2.0,0,True,
pop909,211,127,4,124.0,C:maj,maj,0.0,440,0.9285,1.0,3.0,0,True,
pop909,212,100,4,83.0,Db:maj,maj,-1.0,392,0.8895,0.9916,2.0,0,True,
pop909,213,135,4,130.0,Ab:maj,maj,4.0,335,0.9568,0.9606,1.0,0,True,
pop909,214,150,4,140.0,Gb:min,min,3.0,326,0.9443,0.9905,3.0,0,True,
pop909,215,84,6,128.0,Bb:min,min,-1.0,446,0.9262,0.9974,1.0,0,True,
pop909,216,127,4,114.0,C:maj,maj,0.0,512,0.9102,0.9907,7.0,0,True,
pop909,217,82,4,80.0,A:min,min,0.0,285,0.9324,1.0,1.0,0,True,
pop909,218,88,4,68.1,Gb:maj,maj,6.0,422,0.9161,0.9919,3.0,0,True,
pop909,219,39,4,54.0,F:maj,maj,-5.0,280,0.9552,1.0,2.0,0,True,
pop909,220,102,4,124.0,Ab:maj,maj,4.0,294,0.9389,1.0,0.0,0,True,
pop909,221,96,4,110.0,F:min,min,4.0,204,0.9458,1.0,2.0,0,True,
pop909,222,67,4,78.0,Gb:maj,maj,6.0,202,0.9027,1.0,1.0,0,True,
pop909,223,141,4,116.0,F:min,min,4.0,376,0.9145,0.9974,2.0,0,True,
pop909,224,84,4,65.0,Ab:maj,maj,4.0,699,0.9416,0.9857,0.0,0,True,
pop909,225,97,4,80.0,Bb:maj,maj,2.0,355,0.9076,1.0,3.0,0,True,
pop909,226,68,4,58.0,D:min,min,-5.0,454,0.938,1.0,2.0,0,True,
pop909,227,72,4,67.0,Ab:maj,maj,4.0,363,0.9442,1.0,0.0,0,True,
pop909,228,153,4,116.0,E:maj,maj,-4.0,386,0.9544,1.0,4.0,0,True,
pop909,229,76,4,112.0,A:min,min,0.0,175,0.9862,0.9057,4.0,0,True,
pop909,230,62,4,78.5,Bb:maj,maj,2.0,197,0.9022,1.0,2.0,0,True,
pop909,231,64,6,108.0,A:maj,maj,3.0,364,0.9323,0.9887,2.0,0,True,
pop909,232,136,4,114.0,Bb:maj,maj,2.0,443,0.9031,0.9695,10.0,0,True,
pop909,233,82,4,78.0,C:maj,maj,0.0,425,0.9476,0.9719,4.0,0,True,
pop909,234,137,4,120.0,C:min,min,-3.0,365,0.9105,0.994,1.0,0,True,
pop909,235,58,4,62.0,G:maj,maj,5.0,200,0.9631,1.0,2.0,0,True,
pop909,236,142,4,116.0,B:maj,maj,1.0,559,0.9102,0.9912,3.0,0,True,
pop909,237,83,4,75.0,Ab:min,min,1.0,275,0.9095,0.9821,2.0,0,True,
pop909,238,90,4,81.0,D:maj,maj,-2.0,412,0.9143,1.0,2.0,0,True,
pop909,239,92,4,64.0,G:maj,maj,5.0,470,0.9298,0.9948,1.0,0,True,
pop909,240,143,4,124.0,E:min,min,5.0,201,0.939,0.9941,10.0,0,True,
pop909,241,45,4,58.0,Gb:min,min,3.0,239,0.8995,0.9927,1.0,0,True,
pop909,242,70,4,62.0,E:maj,maj,-4.0,339,0.9244,0.9978,1.0,0,True,
pop909,243,83,4,106.0,C:maj,maj,0.0,306,0.9046,1.0,3.0,0,True,
pop909,244,79,4,62.0,Eb:min,min,6.0,338,0.9278,1.0,2.0,0,True,
pop909,245,83,4,88.0,Bb:maj,maj,2.0,285,0.8825,1.0,1.0,0,True,
pop909,246,106,4,140.0,Db:min,min,-4.0,233,0.9566,0.9576,4.0,0,True,
pop909,247,123,4,82.0,Db:maj,maj,-1.0,483,0.9232,0.9925,1.0,0,True,
pop909,248,90,4,138.0,F:maj,maj,-5.0,306,0.964,1.0,1.0,0,True,
pop909,249,112,4,114.0,C:min,min,-3.0,363,0.9451,1.0,3.0,0,True,
pop909,250,194,4,126.0,D:maj,maj,-2.0,408,0.9573,0.9847,11.0,0,True,
pop909,251,113,4,120.0,G:min,min,2.0,549,0.895,0.9977,2.0,0,True,
pop909,252,132,4,125.9,Eb:maj,maj,-3.0,321,0.944,0.9916,9.0,0,True,
pop909,253,71,4,66.0,A:min,min,0.0,390,0.9508,0.996,3.0,0,True,
pop909,254,76,6,110.0,Gb:maj,maj,6.0,325,0.9246,0.9694,0.0,0,True,
pop909,255,88,4,86.0,B:min,min,-2.0,342,0.9213,0.9896,4.0,0,True,
pop909,256,59,4,52.0,Db:maj,maj,-1.0,406,0.8871,1.0,0.0,0,True,
pop909,257,75,4,127.0,F:maj,maj,-5.0,188,0.9485,1.0,3.0,0,True,
pop909,258,106,4,108.0,Ab:maj,maj,4.0,410,0.907,1.0,1.0,0,True,
pop909,259,110,4,120.0,F:maj,maj,-5.0,360,0.9083,1.0,6.0,0,True,
pop909,260,145,4,120.0,B:maj,maj,1.0,538,0.9186,0.9978,5.0,0,True,
pop909,261,142,4,134.0,B:min,min,-2.0,342,0.9433,0.9975,8.0,0,True,
pop909,262,95,4,87.9,C:min,min,-3.0,392,0.9305,0.9959,0.0,0,True,
pop909,263,107,4,90.0,C:min,min,-3.0,320,0.9182,1.0,1.0,0,True,
pop909,264,75,4,82.0,G:maj,maj,5.0,226,0.8494,0.9697,3.0,0,True,
pop909,265,117,4,97.0,Db:maj,maj,-1.0,353,0.9597,1.0,0.0,0,True,
pop909,266,100,4,94.0,B:min,min,-2.0,219,0.9576,0.9918,0.0,0,True,
pop909,267,43,4,55.0,Gb:min,min,3.0,275,0.9569,0.9816,2.0,0,True,
pop909,268,54,4,60.0,C:min,min,-3.0,293,0.9061,1.0,3.0,0,True,
pop909,269,94,4,72.0,G:maj,maj,5.0,296,0.9163,1.0,4.0,0,True,
pop909,270,84,4,71.0,A:min,min,0.0,316,0.9469,1.0,2.0,0,True,
pop909,271,80,4,74.0,Eb:min,min,6.0,362,0.9597,1.0,0.0,0,True,
pop909,272,62,4,73.0,E:min,min,5.0,305,0.9715,1.0,0.0,0,True,
pop909,273,81,4,74.0,F:maj,maj,-5.0,326,0.9562,1.0,0.0,0,True,
pop909,274,111,4,108.0,B:maj,maj,1.0,344,0.9721,1.0,7.0,0,True,
pop909,275,53,4,67.0,D:maj,maj,-2.0,312,0.9617,1.0,1.0,0,True,
pop909,276,75,4,68.0,E:min,min,5.0,380,0.9368,1.0,5.0,0,True,
pop909,277,96,4,86.0,Bb:maj,maj,2.0,372,0.9493,1.0,6.0,0,True,
pop909,278,124,4,126.0,C:maj,,,409,0.9625,0.8938,3.0,0,False,failed MIDI-vs-chord verification
pop909,279,89,4,70.0,Bb:min,min,-1.0,270,0.9414,1.0,3.0,0,True,
pop909,280,66,6,87.0,Eb:maj,maj,-3.0,276,0.9416,1.0,2.0,0,True,
pop909,281,61,4,69.0,A:min,min,0.0,338,0.9887,1.0,1.0,0,True,
pop909,282,75,4,73.0,D:maj,maj,-2.0,408,0.9333,1.0,3.0,0,True,
pop909,283,66,4,74.0,E:min,min,5.0,257,0.9591,1.0,1.0,0,True,
pop909,284,109,4,102.0,D:min,min,-5.0,341,0.9746,1.0,1.0,0,True,
pop909,285,75,4,68.0,C:maj,maj,0.0,385,0.9525,1.0,5.0,0,True,
pop909,286,65,4,58.0,G:maj,maj,5.0,223,0.9339,1.0,3.0,0,True,
pop909,287,84,4,69.0,B:maj,maj,1.0,367,0.9636,1.0,2.0,0,True,
pop909,288,106,4,104.0,G:min,min,2.0,329,0.9645,1.0,2.0,0,True,
pop909,289,71,4,59.5,Gb:maj,maj,6.0,465,0.9108,1.0,3.0,0,True,
pop909,290,64,4,69.0,Gb:maj,maj,6.0,257,0.9573,1.0,2.0,0,True,
pop909,291,84,4,93.0,A:maj,maj,3.0,334,0.9755,0.9697,3.0,0,True,
pop909,292,81,4,87.0,F:min,min,4.0,575,0.9659,1.0,0.0,0,True,
pop909,293,62,4,59.0,C:maj,maj,0.0,405,0.9756,1.0,4.0,0,True,
pop909,294,78,4,70.0,Eb:maj,maj,-3.0,256,0.9618,1.0,1.0,0,True,
pop909,295,85,4,70.3,D:min,min,-5.0,390,0.9567,1.0,6.0,0,True,
pop909,296,54,4,55.0,Db:maj,maj,-1.0,294,0.965,1.0,3.0,0,True,
pop909,297,72,4,68.0,D:min,min,-5.0,236,0.9576,1.0,4.0,0,True,
pop909,298,87,4,97.0,Db:maj,maj,-1.0,245,0.9117,1.0,1.0,0,True,
pop909,299,51,4,58.0,Ab:maj,maj,4.0,231,0.95,1.0,2.0,0,True,
